rep, ipc, llc_miss_rate, l1d_miss_rate, l1i_miss_rate, l2_miss_rate 
fifo, 0.175241, 0.49770219083277845, 0.3391266497008611, 0.0, 0.6684452467870908 
lfu, 0.194202, 0.3611467954212753, 0.34140148652531327, 0.0, 0.6684497060755177 
lru, 0.185607, 0.4147750449565372, 0.34067961209431014, 0.0, 0.6684522752759801 
random, 0.175602, 0.49840483646915684, 0.33914485131296, 0.0, 0.6681898015610953 
drrip, 0.20218, 0.3399024946713608, 0.34218903420960534, 0.0, 0.6678975564324067 
