rep, ipc, llc_miss_rate, l1d_miss_rate, l1i_miss_rate, l2_miss_rate 
fifo, 0.190981, 0.8423293870476102, 0.16278237270752963, 1.692299074600097e-07, 0.4823647952227106 
lfu, 0.193636, 0.8248319994713198, 0.16278264431115347, 1.692299074600097e-07, 0.4823640520620209 
lru, 0.192725, 0.8306529889018458, 0.1627824453557942, 1.692299074600097e-07, 0.4823640520620209 
random, 0.190988, 0.8664126183451707, 0.1627823284952593, 1.692299074600097e-07, 0.48239946015150886 
drrip, 0.193877, 0.8253665588215048, 0.1627822400707907, 1.692299074600097e-07, 0.4823979194880067 
